Ejecucion,Fitness,Violaciones
1,-14.99999999925411,0.0
2,-12.999999999661318,0.0
3,-13.828119646100925,0.0
4,-12.453124986141049,0.0
5,-14.9999999870045,0.0
6,-14.999999998838431,0.0
7,-12.453124970483094,0.0
8,-11.281249971228732,0.0
9,-13.602502047615223,0.0
10,-13.828124948593475,0.0
11,-12.999999987791902,0.0
12,-12.656249708584987,0.0
13,-12.453124922143994,0.0
14,-14.999999996519723,0.0
15,-12.656249967969982,0.0
16,-14.999999986832329,0.0
17,-14.99999999178842,0.0
18,-10.656249979572133,0.0
19,-13.82812494050711,0.0
20,-12.999999984248392,0.0
21,-14.99999999972958,0.0
22,-14.99999999932658,0.0
23,-13.827813266100428,0.0
24,-14.999999998198918,0.0
25,-12.656249098846656,0.0
