Ejecucion,Fitness,Violaciones
1,-11.999999999999995,0.0
2,-14.999999999996843,0.0
3,-14.999999999989075,0.0
4,-14.999999999847981,0.0
5,-14.999999999999792,0.0
6,-14.999999999999451,0.0
7,-14.999999999910642,0.0
8,-14.999999999277366,0.0
9,-14.999999999999977,0.0
10,-14.99999999999988,0.0
11,-14.999999999998252,0.0
12,-14.999999999999282,0.0
13,-14.999999999957689,0.0
14,-14.999999999997483,0.0
15,-14.999999999998009,0.0
16,-14.99999999999556,0.0
17,-14.999999999999284,0.0
18,-14.999999999388255,0.0
19,-14.999999999958982,0.0
20,-14.999999784222979,0.0
21,-14.999992853842725,0.0
22,-14.999999999999943,0.0
23,-14.999999999998474,0.0
24,-14.999999999999899,0.0
25,-14.999999999999805,0.0
