Ejecucion,Fitness,Violaciones
1,-14.999999661531204,0.0
2,-14.99999921632421,0.0
3,-14.999999384485243,0.0
4,-14.99999843600767,0.0
5,-14.99999998631693,0.0
6,-14.999999948090837,0.0
7,-14.99980138455809,0.0
8,-14.999996810950986,0.0
9,-14.999999962539432,0.0
10,-14.999999588300515,0.0
11,-14.999999902318418,0.0
12,-14.999999729099002,0.0
13,-14.99999987360499,0.0
14,-14.999999327110775,0.0
15,-14.999999095388581,0.0
16,-14.99999938189854,0.0
17,-14.999999930084293,0.0
18,-14.99999951843475,0.0
19,-14.999999487114662,0.0
20,-14.999999546934095,0.0
21,-14.999999558549275,0.0
22,-14.999999912231237,0.0
23,-14.999999662729413,0.0
24,-14.999999995402355,0.0
25,-14.99999951919263,0.0
