Ejecucion,Fitness,Violaciones
1,-14.480191735265153,0.0
2,-14.973770899663469,0.0
3,-14.888616108441688,0.0
4,-14.91355677252168,0.0
5,-14.89527535340755,0.0
6,-14.82037434875046,0.0
7,-14.880401263696651,0.0
8,-14.775209580679048,0.0
9,-14.983703264798976,0.0
10,-14.884598124356858,0.0
11,-14.865285137242095,0.0
12,-14.93471486502636,0.0
13,-14.249509189856859,0.0
14,-14.925286597546473,0.0
15,-14.96346499568971,0.0
16,-14.903616721837754,0.0
17,-14.861576092085267,0.0
18,-14.800710518108264,0.0
19,-14.888195597004614,0.0
20,-14.893323297260194,0.0
21,-14.757876930516769,0.0
22,-14.922825539401847,0.0
23,-14.902601295767465,0.0
24,-14.990730934682857,0.0
25,-14.794993916541006,0.0
