Ejecucion,Fitness,Violaciones
1,-14.999993441541369,0.0
2,-12.655669095513932,0.0
3,-11.573484500913603,0.0
4,-14.999943717266596,0.0
5,-13.072430794881972,0.0
6,-13.82795229716806,0.0
7,-13.828112324551565,0.0
8,-11.28123074860235,0.0
9,-14.999998658094016,0.0
10,-14.99999593360463,0.0
11,-14.99878831533038,0.0
12,-11.537913848391772,0.0
13,-9.400006083268012,10.420528704144678
14,-14.9999925334569,0.0
15,-14.999998409777001,0.0
16,-13.827903411379184,0.0
17,-10.236513178180623,0.0
18,-14.999998718539798,0.0
19,-13.828091681417847,0.0
20,-14.831191656705819,0.0
21,-13.860697018616998,0.0
22,-13.119215402930696,0.0
23,-12.99987525472542,0.0
24,-13.827821667282413,0.0
25,-13.82797653258088,0.0
