Ejecucion,Fitness,Violaciones
1,-14.999999195314642,0.0
2,-14.999999211723875,0.0
3,-14.999999176099976,0.0
4,-14.999999196599237,0.0
5,-14.999999015744317,0.0
6,-14.999998888535018,0.0
7,-14.999999126624441,0.0
8,-14.999996797292336,0.0
9,-14.999999160533127,0.0
10,-14.999998609413938,0.0
11,-14.999999402938474,0.0
12,-14.999999449275867,0.0
13,-14.999997916723956,0.0
14,-14.999999257851194,0.0
15,-14.999999389736816,0.0
16,-14.999998632149264,0.0
17,-14.999999575223894,0.0
18,-14.999998941633027,0.0
19,-14.999999074924288,0.0
20,-14.999995624505868,0.0
21,-14.999999189524559,0.0
22,-14.999999294816893,0.0
23,-14.999998811815408,0.0
24,-14.999999431593217,0.0
25,-14.999999451083678,0.0
