Ejecucion,Fitness,Violaciones
1,-14.999999999946771,0.0
2,-14.999999999964212,0.0
3,-14.999999999984036,0.0
4,-14.999999999997172,0.0
5,-14.999999999997826,0.0
6,-14.999999999988834,0.0
7,-14.999999999986356,0.0
8,-14.999999999995644,0.0
9,-12.0,0.0
10,-14.999999999965222,0.0
11,-14.999999999995858,0.0
12,-14.999999999990305,0.0
13,-14.999999999999098,0.0
14,-14.999999999997257,0.0
15,-14.999999999961855,0.0
16,-12.999999999824379,0.0
17,-14.99999999997806,0.0
18,-14.99999999998354,0.0
19,-14.999999999996597,0.0
20,-14.999999999979403,0.0
21,-14.99999999997664,0.0
22,-14.999999999994637,0.0
23,-14.99999999999821,0.0
24,-14.999999999955302,0.0
25,-14.999999999987338,0.0
