Ejecucion,Fitness,Violaciones
1,-13.828124989153773,0.0
2,-12.298889069416623,0.0
3,-13.828124940741702,0.0
4,-14.99999997551117,0.0
5,-12.453124996446421,0.0
6,-13.82812476955046,0.0
7,-13.828123187028648,0.0
8,-11.828124972600277,0.0
9,-11.828124799518331,0.0
10,-13.828124995703542,0.0
11,-13.828124950412741,0.0
12,-12.65624935892148,0.0
13,-14.999999949894054,0.0
14,-14.999999999500703,0.0
15,-12.45312498644517,0.0
16,-13.828124976440531,0.0
17,-14.999999949477672,0.0
18,-13.82812497964872,0.0
19,-14.999999992962914,0.0
20,-13.828124926177665,0.0
21,-14.999999999179474,0.0
22,-12.656249987510806,0.0
23,-10.109374569457382,0.0
24,-12.99999999918248,0.0
25,-13.828124999733674,0.0
