Ejecucion,Fitness,Violaciones
1,-13.24745796559554,0.0
2,-12.999997148338712,0.0
3,-13.827865743673122,0.0
4,-12.453043969254946,0.0
5,-13.828109526984806,0.0
6,-14.995294790404309,0.0
7,-12.99999760282329,0.0
8,-13.82794120922472,0.0
9,-13.82805306201081,0.0
10,-13.828083448310093,0.0
11,-9.454608287654738,0.0
12,-14.999971804150972,0.0
13,-12.594115768693452,0.0
14,-12.999898116855315,0.0
15,-11.604966002505218,0.0
16,-11.455397589686319,0.0
17,-13.827754497999196,0.0
18,-13.828100434258134,0.0
19,-10.87052843534747,0.0
20,-13.828101467558508,0.0
21,-14.999998556358067,0.0
22,-14.999994491474043,0.0
23,-13.822279776218947,0.0
24,-11.281231817546246,0.0
25,-14.309468666353874,0.0
